"","ID","Amout","Description","Grantmakers","Tags","Grantees (research)","Grantees (organisations)","Grantees (other)","Start year","Funder type","Recipients type","Source","Source_2"
"23",1,"$2,953,130","From Sea to Society - We will initiate a marine, efficient, sustainable low trophic aquaculture (LTA) chain, based on biomass from combined seaweed-mussel cultivation, supported by breakthroughs in the natural sciences, such as selective breeding of sterile seaweeds, innovative biorefinery of seaweed biomass and insight in the carrying capacity of the natural marine ecosystem. SeaSEEDS - Seaweed Attachment onto Substrates and Economic Embedding into Dutch Society - We will improve attachment","Netherlands Govt","Environmental impact study
Strain improvement / new species","NIOZ Seaweed Centre
WUR - Wageningen University & Research","Colruyt
Dutch Seaweed Group","","2022","Government","Private-public consortium","https://www.nwo.nl/en/news/two-awards-kic-call-aquatic-food-production",""
"22",2,"$2,881,578","The Methane Emissions Reduction in Livestock (MERiL) grants are designed to engage livestock producers and add to the evidence base to support the calculation of livestock emissions reductions and productivity outcomes in livestock, from the use of feed technologies. The trials using Asparagopsis include a large commercial feedlot trial, a research feedlot trial, a sheep trial, and a lab trial looking at stability in different environments.","Australian Research Council","Livestock methane reduction","","FutureFeed","","2022","Government","Private sector","https://www.linkedin.com/posts/future-feed-pty-ltd_futurefeed-science-research-activity-6899842484348837888-mQyj/",""
"21",3,"$1,000,000","to support innovations that mitigate climate change through ocean-related strategies","Ocean Innovation Prize","Bioplastics
Sargassum / other algal blooms","","Biopac
SMO Solar Process","","2022","","Private sector","https://www.blueclimateinitiative.org/ocean-innovation-prize",""
"20",4,"$500,000","o create a co-op facility that would be shared by a number of mariculture firms","US Dept of Commerce","Commercial expansion","","","Southeast Conference","2022","Government","Private-public consortium","https://www.krbd.org/2022/01/14/biden-administration-pledges-500000-to-design-new-mariculture-facility-on-prince-of-wales-island/",""
"19",5,"$408,264","to scale up seaweed and shellfish production","European Maritime and Fisheries Fund","Commercial expansion","","Câr-y-Môr","","2022","Government","Private sector","https://www.business-live.co.uk/enterprise/pembrokeshire-community-owned-business-aiming-23022694",""
"18",6,"$321,410","Impact of seaweed polyphenols on gut health: Gut microbiome modulation. This project aims to understand the true impact of seaweed polyphenols on the gut microbiome and develop methods to improve their bioavailability, bioaccessibility and bioactivities in the gut.","Australian Research Council","Nutraceuticals","University of Melbourne","","","2022","Government","Univ / Research institute","https://dataportal.arc.gov.au/NCGP/Web/Grant/Grant/DE220100055",""
"17",7,"$224,404","SCRAP - Plastic litter in macrophyte system: environmental fate and ecological implications","Horizon2020","Ecology / Plant biology","","","Stockholm University","2022","Government","Univ / Research institute","https://cordis.europa.eu/project/id/101029198",""
"16",8,"$8,764,941","ALGAE4IBD - developing and examining algae-based compounds for IBD patients while guaranteeing algae's biodiversity preservation.","Horizon2020","Pharmaceuticals","Centro de Ciencias do Mar do Algarve (CCMAR)","Algaia
Sea4Us","","2021","Government","Private-public consortium","https://cordis.europa.eu/project/id/101000501",""
"15",9,"$7,500,000","Ngā Punga o Te Moana: Anchoring our Open Ocean Aquaculture Future, aims to deliver the knowledge and technology Aotearoa New Zealand needs to accelerate and scale-up its shellfish and seaweed open ocean aquaculture transformation.","Endeavour Fund","Aquaculture infrastructure & tech","Cawthron National Algae Research Centre","","","2021","Government","Univ / Research institute","https://www.mbie.govt.nz/science-and-technology/science-and-innovation/funding-information-and-opportunities/investment-funds/endeavour-fund/success-stories/",""
"14",10,"$3,423,371","This project will pilot end-to-end commercial seaweed farming in New Zealand using a community model already developed in the United States. The pilot will include hatchery, farming and processing facilities. This will be a first step towards sustainable seaweed farming in New Zealand, and the creation of a blue carbon and nitrogen market.","Sustainable Food and Fibre Futures fund
Auckland Council","Capacity building / outreach
Cultivation techniques","University of Waikato Macroalgae Research Facility","Agrisea
Premium Seas","","2021","Government
Government","Private-public consortium","https://www.waikato.ac.nz/news-opinion/media/2021/university-of-waikato-researchers-to-lead-seaweed-farming-trials-in-hauraki-gulf-and-bay-of-plenty","https://www.mpi.govt.nz/funding-rural-support/sustainable-food-fibre-futures/current-sff-futures-projects/sff-futures-projects-seafood-and-aquatic/"
