"rowname";"resHeaders";"Headquarters";"Value.chain";"Website";"Species";"Production.process";"Industry..Applications.";"Industry.subsector.tags";"Investors";"Association.focus";"Founding.year";"Annual.production..wet.weight.";"Start.up.scale.up.";"Investments";"Total.disclosed.investments.since.2020";"Development.stage";"Grants.associated";"Researchers.associated";"Team";"SEO.Slug";"SEO.Index";"fundraising"
1;"12 Tides";"USA";"Applications";"https://12tides.com/";"";"";"Food";"Snacks and seasoning";"Katapult Ocean";"";2019;"";NA;"";"$0";"Validation / Traction";"";"";"Male CEO
Mixed founding team";"12-tides";"true";""
2;"Abakus Foods";"UK";"Applications";"https://www.abakusfoods.com/";"";"";"Food";"Snacks and seasoning";"";"";2016;"";NA;"";"$0";"Validation / Traction";"";"";"Female CEO
Female founded";"abakus-foods";"true";""
3;"Abaplas";"Mexico";"Applications";"";"Sargassum sp.";"";"Bioplastics";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"abaplas";"true";""
4;"Able Ocean";"USA";"Farming & harvesting";"http://ableoceans.com/";"";"Aquaculture";"";"";"";"";2021;"0 - 10 tonnes";NA;"";"$0";"";"";"";"";"able-ocean";"true";""
5;"Acadian Seaplants";"Canada";"Farming & harvesting
Applications";"https://www.acadianseaplants.com/";"";"Aquaculture
Land-based";"Plant & soil nutrition
Feed
Food";"";"";"";NA;"10 000 - 100 000 tonnes";NA;"";"$0";"";"";"";"";"acadian-seaplants";"true";""
6;"ACCEL Carrageenan";"Philippines";"Applications";"http://www.accelcarrageenan.com/";"";"";"";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"accel-carrageenan";"true";""
7;"Acuisur";"Peru";"Conservation & restoration
Farming & harvesting";"http://acuisurperu.com/";"";"Aquaculture
Harvesting";"Food
Nutraceuticals
Bioplastics
Pigments, inks, dyes, coatings";"";"";"";2010;"";NA;"";"$0";"";"";"";"";"acuisur";"true";""
8;"AEP Colloids";"USA";"Applications";"https://www.aepcolloids.com/";"";"";"Hydrocolloids";"Agar
Alginate
Carrageenan";"";"";NA;"";NA;"";"$0";"";"";"";"";"aep-colloids";"true";""
9;"Afrakari";"South Africa";"Applications";"https://www.afrakari.co.za/";"";"";"Personal care";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"afrakari";"true";""
10;"Afrikelp";"South Africa";"Farming & harvesting
Applications";"https://afrikelp.com/";"Ecklonia maxima
Gelidium sp.";"Harvesting";"Plant & soil nutrition
Feed";"";"";"";1971;"1000 - 10 000 tonnes";NA;"";"$0";"";"";"";"Female CEO
Male founded";"afrikelp";"true";""
11;"Agar del Pacifico";"Chile";"Applications";"";"";"";"Hydrocolloids";"Agar";"";"";NA;"";NA;"";"$0";"";"";"";"";"agar-del-pacifico";"true";""
12;"Agar Swallow";"Indonesia";"Applications";"http://www.agarswallow.com/";"";"";"Hydrocolloids";"Agar";"";"";NA;"";NA;"";"$0";"";"";"";"";"agar-swallow";"true";""
13;"Agargel";"Brazil";"Farming & harvesting
Applications";"https://agargel.com.br/";"";"Harvesting";"Hydrocolloids";"Agar";"";"";NA;"";NA;"";"$0";"";"";"";"";"agargel";"true";""
14;"Agarindo Bogatama";"Indonesia";"Applications";"https://www.indonesiaseaweed.com/company/agarindo-bogatama/";"";"";"Hydrocolloids";"Agar";"";"";NA;"";NA;"";"$0";"";"";"";"";"agarindo-bogatama";"true";""
15;"Agarmex";"Mexico";"Applications";"https://www.agarmex.com/";"";"";"Hydrocolloids";"Agar
Carrageenan";"";"";NA;"";NA;"";"$0";"";"";"";"";"agarmex";"true";""
16;"Agarophyta Philippines";"Philippines";"Distribution";"";"";"";"";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"agarophyta-philippines";"true";""
17;"Agora Solutions";"Netherlands";"Infrastructure & equipment";"https://www.agorasolutions.tech/";"";"";"";"";"";"";2022;"";NA;"";"$0";"Research / product development";"";"";"";"agora-solutions";"true";""
18;"Agrimer";"France";"Farming & harvesting
Applications";"https://www.agrimer.com/en/home/";"Ascophyllum nodosum
Chondrus crispus
Fucus sp.
Laminaria digitata
Ulva lactuca";"Harvesting";"Personal care
Plant & soil nutrition
Food
Feed";"Livestock feed";"";"";NA;"";NA;"";"$0";"";"";"";"";"agrimer";"true";""
19;"Agrisea";"New Zealand";"Farming & harvesting";"https://agrisea.co.nz/";"Ecklonia radiata";"Harvesting";"Plant & soil nutrition
Feed
Food";"Bee feed
Livestock feed
Drink";"";"";NA;"";NA;"";"$0";"";"$3,423,371
$684,679";"";"";"agrisea";"true";""
20;"Agrival";"France";"Farming & harvesting";"";"Ulva sp.";"Harvesting";"";"";"";"";NA;"1000 - 10 000 tonnes";NA;"";"$0";"";"";"";"";"agrival";"true";""
21;"Aird Fada Seaweed Farm";"UK";"Farming & harvesting";"https://swmid.co.uk/projects/aird-fada-seaweed-farm/";"Saccharina latissima";"Aquaculture";"";"";"";"";2021;"0 - 10 tonnes";NA;"";"$0";"";"";"";"";"aird-fada-seaweed-farm";"true";""
22;"Akki Foods";"Japan";"Applications";"https://akkifoods.co.jp/corporate/index.html";"Sargassum sp.";"";"Pharmaceuticals
Food";"Fucoidans";"";"";NA;"";NA;"";"$0";"";"";"";"";"akki-foods";"true";""
23;"Akua";"USA";"Applications";"https://akua.co/";"";"";"Food";"Meat substitute";"Republic
Sea Ahead
MassChallenge";"";2017;"";NA;"$1,070,000
$3,200,000";"$4,270,000";"Scale-up / Industrialisation";"";"";"Mixed founding team
Female CEO";"akua";"true";""
24;"Alaria AS / Seaweed AS";"Norway";"Farming & harvesting";"https://www.seaweedfromnorway.no/";"Alaria esculenta
Laminaria sp.";"Harvesting";"Food";"";"";"";NA;"10 - 100 tonnes";NA;"";"$0";"";"";"";"";"alaria-as-/-seaweed-as";"true";""
25;"Alaska Fisheries Development Foundation";"USA";"Multi-stakeholder platform";"https://www.afdf.org/category/alaska-mariculture-initiative/";"";"";"";"";"";"Growing the industry";NA;"";NA;"";"$0";"";"";"";"";"alaska-fisheries-development-foundation";"true";""
26;"Alaska Shellfish Farms";"USA";"Farming & harvesting";"https://www.alaskashellfish.net/";"";"Aquaculture";"";"";"";"";NA;"0 - 10 tonnes";NA;"";"$0";"";"";"";"";"alaska-shellfish-farms";"true";""
27;"Alaska's Best Shellfish";"USA";"Farming & harvesting";"https://www.alaskasbestshellfish.com/";"Saccharina latissima
Alaria marginata";"Aquaculture";"";"";"";"";NA;"0 - not started yet";NA;"";"$0";"";"";"";"";"alaskas-best-shellfish";"true";""
28;"Alaskan Sea Greens";"USA";"Farming & harvesting";"";"Saccharina latissima";"Aquaculture";"";"";"";"";NA;"0 - 10 tonnes";NA;"";"$0";"";"";"";"";"alaskan-sea-greens";"true";""
29;"Alg Seaweed";"Australia";"Applications";"https://algseaweed.com/";"";"";"Food";"Snacks and seasoning";"";"";NA;"";NA;"";"$0";"";"";"";"";"alg-seaweed";"true";""
30;"Alg'Emeraude";"France";"Farming & harvesting
Applications";"http://www.alg-emeraude.com/";"";"Harvesting";"Food";"";"";"";NA;"0 - 10 tonnes";NA;"";"$0";"";"";"";"";"algemeraude";"true";""
31;"Alga Biosciences";"USA";"Farming & harvesting
Applications";"https://www.alga.bio/";"Asparagopsis taxiformis";"Aquaculture";"Feed";"Livestock methane reduction";"Y Combinator";"";2021;"0 - not started yet";NA;"";"$0";"";"";"";"";"alga-biosciences";"true";""
32;"Algabase";"Spain";"Applications";"http://www.algabase.com/";"Ulva sp.";"";"Personal care
Plant & soil nutrition";"";"";"";2014;"";NA;"";"$0";"";"";"";"";"algabase";"true";""
33;"Algae Sumba Timur Lestari";"Indonesia";"Applications";"https://id1365183554zlhe.fm.alibaba.com/company_profile.html";"E. cottonii
E. spinosum";"";"Hydrocolloids";"Carrageenan";"";"";NA;"";NA;"";"$0";"";"";"";"";"algae-sumba-timur-lestari";"true";""
34;"AlgaeCal";"USA";"Farming & harvesting";"https://www.algaecal.com/";"Lithotamnium superpositum";"";"";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"algaecal";"true";""
35;"Algaemech";"Netherlands";"Infrastructure & equipment";"http://algaemech.com/";"";"";"";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"algaemech";"true";""
36;"Algaenetic";"Mexico";"Applications";"https://www.algaenetic.com/";"Sargassum sp.";"";"HABs";"";"";"";2020;"";NA;"";"$0";"Research / product development";"";"";"";"algaenetic";"true";""
37;"AlgaeTraders";"Netherlands";"Distribution";"http://algaetraders.com/";"";"";"";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"algaetraders";"true";""
38;"Algaia";"France";"Applications
Processing / Biorefinery";"https://www.algaia.com/";"Laminaria digitata
Laminaria hyperborea";"Harvesting";"Plant & soil nutrition
Hydrocolloids";"Alginate
Carrageenan";"Maabarot
Demeter Partners
Supernova Invest";"";2016;"10 000 - 100 000 tonnes";NA;"$2,600,000";"$2,600,000";"Scale-up / Industrialisation";"$12,726,187
$8,764,941
$352,098";"";"Male CEO
Male founded";"algaia";"true";""
39;"Algalindo Perdana";"Indonesia";"Applications";"https://algalindoperdana.com/";"";"";"Hydrocolloids";"Carrageenan";"";"";NA;"";NA;"";"$0";"";"";"";"";"algalindo-perdana";"true";""
40;"Algallure";"USA";"Farming & harvesting
Applications";"https://algallure.com/";"";"";"Personal care";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"algallure";"true";""
41;"Algamar Espana";"Spain";"Farming & harvesting
Applications";"https://www.algamar.com/en/";"Gelidium sesquipedale
Himanthalia sp.
Laminaria sp.
Palmaria sp.
Porphyra sp.";"Harvesting";"Hydrocolloids
Food";"Agar";"";"";NA;"";NA;"";"$0";"";"";"";"";"algamar-espana";"true";""
42;"Algamar Mexico (Algas Marinas S.A.)";"Mexico";"Farming & harvesting
Applications";"https://www.kelproducts.com/";"Macrocystis pyrifera
Ecklonia sp.";"Harvesting";"Plant & soil nutrition
Personal care
Feed
Nutraceuticals";"Aquafeed
Livestock feed";"";"";2009;"1000 - 10 000 tonnes";NA;"";"$0";"";"";"";"";"algamar-mexico-algas-marinas-sa";"true";""
43;"Alganex";"Germany";"Distribution";"https://alganex.com/";"";"";"";"";"Rockstart Agrifood";"";2020;"";NA;"Unnamed record";"$0";"Pilot / Demonstration";"";"";"";"alganex";"true";""
44;"Algapelago";"UK";"Farming & harvesting";"https://www.algapelago.com/";"";"";"";"";"";"";2022;"0 - not started yet";NA;"";"$0";"Research / product development";"";"";"";"algapelago";"true";""
45;"ALGAplus Lda";"Portugal";"Farming & harvesting";"https://www.algaplus.pt/en/";"Codium tomentosum
Gracilaria gracilis
Palmaria palmata
Porphyra dioica";"Aquaculture
Land-based";"";"";"SAPEC";"";2012;"10 - 100 tonnes";NA;"Unnamed record";"$0";"Scale-up / Industrialisation";"$12,726,187
$9,358,759
$1,772,833";"";"Mixed founding team
Female CEO";"algaplus-lda";"true";""
46;"AlgAran";"Ireland";"Farming & harvesting
Applications";"https://www.seaweedproducts.ie/";"Alaria esculenta
Chondrus crispus
Himanthalia elongata
Laminaria digitata";"Harvesting";"Food
Personal care";"";"";"";2004;"10 - 100 tonnes";NA;"";"$0";"";"";"";"";"algaran";"true";""
47;"Algarina";"Chile";"Farming & harvesting";"https://www.algarina.cl/";"Durvillaea antartica";"Harvesting";"Food";"";"";"";NA;"0 - 10 tonnes";NA;"";"$0";"";"";"";"";"algarina";"true";""
48;"Algas Chile";"Chile";"Farming & harvesting";"https://www.algaschile.com/";"Macrocystis pyrifera
Chondracanthus chamissoi
Lessonia sp.";"Aquaculture";"";"";"";"";2014;"";NA;"";"$0";"";"";"";"";"algas-chile";"true";""
49;"Algas de Asturias";"Spain";"Farming & harvesting";"http://organicseafarmers.com/";"Saccharina latissima";"Aquaculture";"";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"algas-de-asturias";"true";""
50;"Algas La Patrona";"Spain";"Farming & harvesting";"https://algaslapatrona.com/en/";"Saccharina sp.";"Harvesting";"Food";"";"";"";NA;"0 - 10 tonnes";NA;"";"$0";"";"";"";"";"algas-la-patrona";"true";""
51;"Algas Organics";"Saint Lucia";"Farming & harvesting
Applications";"https://algasorganics.com/";"Sargassum sp.";"Harvesting";"HABs
Plant & soil nutrition";"";"";"";2014;"100 - 1000 tonnes";NA;"";"$0";"Scale-up / Industrialisation";"";"";"Male CEO
Male founded";"algas-organics";"true";""
52;"Algasbras";"Brazil";"Farming & harvesting
Applications";"https://algasbras.com.br/";"Kappaphycus alvarezii";"Aquaculture";"Hydrocolloids
Plant & soil nutrition";"Carrageenan";"";"";2001;"";NA;"";"$0";"";"";"";"";"algasbras";"true";""
53;"Algastech";"Brazil";"Farming & harvesting";"https://algastech.com.br/";"Kappaphycus alvarezii";"Aquaculture";"Plant & soil nutrition
Food";"";"";"";2020;"";NA;"";"$0";"Pilot / Demonstration";"";"";"";"algastech";"true";""
54;"Algea";"Norway";"Farming & harvesting
Applications";"https://www.algea.com/";"Ascophyllum nodosum";"Harvesting";"Feed
Plant & soil nutrition";"Livestock feed";"";"";NA;"10 000 - 100 000 tonnes";NA;"";"$0";"";"";"";"";"algea";"true";""
55;"AlgeaNova";"Dominican Republic";"Farming & harvesting
Applications";"http://www.algeanova.com/en/";"Sargassum sp.";"Harvesting";"HABs
Paper / cardboard";"";"";"";2016;"10 000 - 100 000 tonnes";NA;"";"$0";"Validation / Traction";"";"";"";"algeanova";"true";""
56;"Algenettverk Nord";"Norway";"Multi-stakeholder platform";"https://algenett.no/";"";"";"";"";"";"Growing the industry";NA;"";NA;"";"$0";"";"";"";"";"algenettverk-nord";"true";""
57;"Algenladen GmbH";"Germany";"Distribution";"www.algenladen.de";"Ulva sp.
Undaria sp.
Porphyra sp.
Fucus sp.
Laminaria sp.
Palmaria palmata";"";"";"";"";"";2017;"";NA;"";"$0";"Validation / Traction";"";"";"Male CEO
Male founded";"algenladen-gmbh";"true";"$210,000"
58;"Algenprojekt";"Germany";"Infrastructure & equipment";"https://www.algenprojekt.de/";"";"Aquaculture
Land-based";"";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"algenprojekt";"true";""
59;"Algeon Materials";"USA";"Applications";"https://www.algeonmaterials.com/";"";"";"Bioplastics";"";"startBlue
Maritime Blue";"";2021;"";NA;"";"$0";"Research / product development";"";"";"Female CEO
Female founded";"algeon-materials";"true";""
60;"Algetun";"Norway";"Processing / Biorefinery";"https://www.algetun.no/";"";"";"";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"algetun";"true";""
61;"Algii";"Brazil";"Applications";"https://www.algii.com.br/";"Kappaphycus alvarezii";"";"Personal care";"";"";"";2019;"";NA;"";"$0";"";"";"";"";"algii";"true";""
62;"Algiknit";"USA";"Applications";"https://www.algiknit.com/";"";"";"Textiles";"";"Horizons Ventures
SOSV / IndieBio
Fashion For Good";"";2018;"";NA;"$2,400,000
$13,000,000";"$15,400,000";"Research / product development";"";"";"Mixed founding team
Female CEO";"algiknit";"true";""
63;"Algine Plus";"Sweden";"Farming & harvesting
Applications";"http://www.algineplus.com/algineplus.htm";"";"Harvesting";"Nutraceuticals";"";"";"";NA;"";NA;"";"$0";"";"";"";"";"algine-plus";"true";""
64;"Alginor";"Norway";"Farming & harvesting
Processing / Biorefinery";"https://alginor.no/";"Laminaria hyperborea";"Harvesting";"";"Fucoidans
Alginate";"EASME - EU Executive Agency for SMEs";"";2014;"10 - 100 tonnes";NA;"$20,500,000
$33,000,000";"$53,500,000";"Pilot / Demonstration";"$6,010,156
$2,268,198
$554,331";"";"Male CEO
Male founded";"alginor";"true";""
65;"Algipharma";"Norway";"Applications";"https://algipharma.com/";"";"";"Pharmaceuticals";"";"";"";2006;"";NA;"";"$0";"Research / product development";"$7,032,666
$1,760,523
$1,100,128";"";"Male CEO
Male founded";"algipharma";"true";""
