"","ID","Algae_Species","Number of co's","Producers","Research","Genus","Color","Common_name"
"1",1,"Saccharina latissima","69","Danish Seaweed / Dansk Tang
Omø Fisk & Tang
Porto-Muiños
Algas de Asturias
Ocean Rainforest","BioSea","Saccharina","Brown","Sugar kelp"
"2",2,"Sargassum sp.","46","Thomsea
Carbonwave (formerly C-Combinator)
Salgax
Biomaya
Sargasse Project
Algaenetic","","Sargassum","Brown","Gulfweed"
"3",3,"Ascophyllum nodosum","45","Agrimer
NUWEN by Setalg
Thorverk (Þörungaverksmiðjan)
Arramara Teo
Oilean Glas Teoranta","","Ascophyllum","Brown","rockweed, Norwegian kelp, knotted kelp, knotted wrack"
"4",4,"Ulva sp.","41","Danish Seaweed / Dansk Tang
HQ Seaweed (Capitan Alga)
Investalga
Porto-Muiños
Suralgas","","Ulva","Green","Sea lettuce"
"5",5,"Palmaria palmata","37","Ocean Rainforest
Algoplus
Algues Armorique
Algue Service
Biocean
GlobeXplore
Marinoë","","Palmaria","Red","Dulse"
"6",6,"Porphyra sp.","27","Algamar Espana
Porto-Muiños
Algoplus
Algues Armorique
Algue Service
Biocean
Marinoë","","Porphyra","Red","Laver, nori, gim"
"7",7,"Alaria esculenta","26","Ocean Rainforest
C-weed Aquaculture
AlgAran
The Irish Seaweed Company
Hortimare","","Alaria","Brown","Winged kelp"
"8",8,"Laminaria digitata","26","Danish Seaweed / Dansk Tang
Omø Fisk & Tang
Ocean Rainforest
Agrimer
Algoplus
Bretagne Cosmétiques Marins","","Laminaria","Brown","Oarweed"
"9",9,"Undaria sp.","25","Algamar Espana
HQ Seaweed (Capitan Alga)
Porto-Muiños
Conservas Artemar
Algoplus","","Undaria","Brown","Wakame, sea mustard"
"10",10,"Gracilaria sp.","22","Suralgas
La Huerta Marina
The Seaweed Company
Sunken Seaweed
SELT Marine Group","","Gracilaria","Red","ogonori, ogo, gulaman"
"11",11,"Chondrus crispus","21","Porto-Muiños
Agrimer
Algues Armorique
Bretagne Cosmétiques Marins
AlgAran
Rí Na Mara","","Chondrus","Red","Irish moss"
"12",12,"Himanthalia elongata","19","Porto-Muiños
Conservas Artemar
Algues Armorique
Algue Service
Biocean
GlobeXplore","","Himanthalia","Brown","Sea spaghetti, sea thong"
"13",13,"Kappaphycus alvarezii","17","Rhodomaxx
Algii
Seaweed Consulting
SELT Marine Group
SEADLING
Ocean Farmers","","Kappaphycus","Red",""
"14",14,"E. spinosum","16","ZANEA (Zanzibar East Africa Seaweed)
Ledo Biashara
C-Weed
Zanque Aqua Farms
Mwani Zanzibar","","Eucheuma","Red","gusô, eucheuma"
"15",15,"Laminaria sp.","16","Algamar Espana
Bio Molenez
North Atlantic Organics
Morocco Seaweed
Sea‐Pür
Alaria AS / Seaweed AS","","Laminaria","Brown",""
"16",16,"Fucus vesiculosus","15","Danish Seaweed / Dansk Tang
Omø Fisk & Tang
Biocean
Bretagne Cosmétiques Marins","","Fucus","Brown","Sea oak, bladder wrack"
"17",17,"Porphyra yezoensis","15","Gimme Health Foods
Xianzhiyuan
Ayibo Food
Jiangsu Ruixue Ocean Technology Co., Ltd.","","Porphyra","Red","Laver, nori, gim"
"18",18,"Ulva lactuca","14","Agrimer
Algoplus
Biocean
Bretagne Cosmétiques Marins
The Irish Seaweed Company","","Ulva","Green","Sea lettuce"
