"","rowname","resHeaders","Headquarters","Value.chain","Website","Species","Production.process","Industry..Applications.","Industry.subsector.tags","Investors","Association.focus","Founding year","Annual production (wet weight)","Start-up/scale-up?","Investments","Total disclosed investments since 2020","Development stage","Grants associated","Researchers associated","Team","SEO:Slug","SEO:Index"
"1",1,"12 Tides","USA","Applications","https://12tides.com/","","","Food","Snacks and seasoning","Katapult Ocean","","2019","","","","$0","Validation / Traction","","","Male CEO
Mixed founding team","12-tides","true"
"2",2,"Abakus Foods","UK","Applications","https://www.abakusfoods.com/","","","Food","Snacks and seasoning","","","2016","","","","$0","Validation / Traction","","","Female CEO
Female founded","abakus-foods","true"
"3",3,"Abaplas","Mexico","Applications","","Sargassum sp.","","Bioplastics","","","","","","","","$0","","","","","abaplas","true"
"4",4,"Able Ocean","USA","Farming & harvesting","http://ableoceans.com/","","Aquaculture","","","","","2021","0 - 10 tonnes","","","$0","","","","","able-ocean","true"
"5",5,"Acadian Seaplants","Canada","Farming & harvesting
Applications","https://www.acadianseaplants.com/","","Aquaculture
Land-based","Plant & soil nutrition
Feed
Food","","","","","10 000 - 100 000 tonnes","","","$0","","","","","acadian-seaplants","true"
"6",6,"ACCEL Carrageenan","Philippines","Applications","http://www.accelcarrageenan.com/","","","","","","","","","","","$0","","","","","accel-carrageenan","true"
"7",7,"Acuisur","Peru","Conservation & restoration
Farming & harvesting","http://acuisurperu.com/","","Aquaculture
Harvesting","Food
Nutraceuticals
Bioplastics
Pigments, inks, dyes, coatings","","","","2010","","","","$0","","","","","acuisur","true"
"8",8,"AEP Colloids","USA","Applications","https://www.aepcolloids.com/","","","Hydrocolloids","Agar
Alginate
Carrageenan","","","","","","","$0","","","","","aep-colloids","true"
"9",9,"Afrakari","South Africa","Applications","https://www.afrakari.co.za/","","","Personal care","","","","","","","","$0","","","","","afrakari","true"
"10",10,"Afrikelp","South Africa","Farming & harvesting
Applications","https://afrikelp.com/","Ecklonia maxima
Gelidium sp.","Harvesting","Plant & soil nutrition
Feed","","","","1971","1000 - 10 000 tonnes","","","$0","","","","Female CEO
Male founded","afrikelp","true"
"11",11,"Agar del Pacifico","Chile","Applications","","","","Hydrocolloids","Agar","","","","","","","$0","","","","","agar-del-pacifico","true"
"12",12,"Agar Swallow","Indonesia","Applications","http://www.agarswallow.com/","","","Hydrocolloids","Agar","","","","","","","$0","","","","","agar-swallow","true"
"13",13,"Agargel","Brazil","Farming & harvesting
Applications","https://agargel.com.br/","","Harvesting","Hydrocolloids","Agar","","","","","","","$0","","","","","agargel","true"
"14",14,"Agarindo Bogatama","Indonesia","Applications","https://www.indonesiaseaweed.com/company/agarindo-bogatama/","","","Hydrocolloids","Agar","","","","","","","$0","","","","","agarindo-bogatama","true"
"15",15,"Agarmex","Mexico","Applications","https://www.agarmex.com/","","","Hydrocolloids","Agar
Carrageenan","","","","","","","$0","","","","","agarmex","true"
"16",16,"Agarophyta Philippines","Philippines","Distribution","","","","","","","","","","","","$0","","","","","agarophyta-philippines","true"
"17",17,"Agora Solutions","Netherlands","Infrastructure & equipment","https://www.agorasolutions.tech/","","","","","","","2022","","","","$0","Research / product development","","","","agora-solutions","true"
"18",18,"Agrimer","France","Farming & harvesting
Applications","https://www.agrimer.com/en/home/","Ascophyllum nodosum
Chondrus crispus
Fucus sp.
Laminaria digitata
Ulva lactuca","Harvesting","Personal care
Plant & soil nutrition
Food
Feed","Livestock feed","","","","","","","$0","","","","","agrimer","true"
"19",19,"Agrisea","New Zealand","Farming & harvesting","https://agrisea.co.nz/","Ecklonia radiata","Harvesting","Plant & soil nutrition
Feed
Food","Bee feed
Livestock feed
Drink","","","","","","","$0","","$3,423,371
$684,679","","","agrisea","true"
"20",20,"Agrival","France","Farming & harvesting","","Ulva sp.","Harvesting","","","","","","1000 - 10 000 tonnes","","","$0","","","","","agrival","true"
"21",21,"Aird Fada Seaweed Farm","UK","Farming & harvesting","https://swmid.co.uk/projects/aird-fada-seaweed-farm/","Saccharina latissima","Aquaculture","","","","","2021","0 - 10 tonnes","","","$0","","","","","aird-fada-seaweed-farm","true"
"22",22,"Akki Foods","Japan","Applications","https://akkifoods.co.jp/corporate/index.html","Sargassum sp.","","Pharmaceuticals
Food","Fucoidans","","","","","","","$0","","","","","akki-foods","true"
"23",23,"Akua","USA","Applications","https://akua.co/","","","Food","Meat substitute","Republic
Sea Ahead
MassChallenge","","2017","","","$1,070,000
$3,200,000","$4,270,000","Scale-up / Industrialisation","","","Mixed founding team
Female CEO","akua","true"
"24",24,"Alaria AS / Seaweed AS","Norway","Farming & harvesting","https://www.seaweedfromnorway.no/","Alaria esculenta
Laminaria sp.","Harvesting","Food","","","","","10 - 100 tonnes","","","$0","","","","","alaria-as-/-seaweed-as","true"
"25",25,"Alaska Fisheries Development Foundation","USA","Multi-stakeholder platform","https://www.afdf.org/category/alaska-mariculture-initiative/","","","","","","Growing the industry","","","","","$0","","","","","alaska-fisheries-development-foundation","true"
"26",26,"Alaska Shellfish Farms","USA","Farming & harvesting","https://www.alaskashellfish.net/","","Aquaculture","","","","","","0 - 10 tonnes","","","$0","","","","","alaska-shellfish-farms","true"
"27",27,"Alaska's Best Shellfish","USA","Farming & harvesting","https://www.alaskasbestshellfish.com/","Saccharina latissima
Alaria marginata","Aquaculture","","","","","","0 - not started yet","","","$0","","","","","alaskas-best-shellfish","true"
"28",28,"Alaskan Sea Greens","USA","Farming & harvesting","","Saccharina latissima","Aquaculture","","","","","","0 - 10 tonnes","","","$0","","","","","alaskan-sea-greens","true"
"29",29,"Alg Seaweed","Australia","Applications","https://algseaweed.com/","","","Food","Snacks and seasoning","","","","","","","$0","","","","","alg-seaweed","true"
"30",30,"Alg'Emeraude","France","Farming & harvesting
Applications","http://www.alg-emeraude.com/","","Harvesting","Food","","","","","0 - 10 tonnes","","","$0","","","","","algemeraude","true"
"31",31,"Alga Biosciences","USA","Farming & harvesting
Applications","https://www.alga.bio/","Asparagopsis taxiformis","Aquaculture","Feed","Livestock methane reduction","Y Combinator","","2021","0 - not started yet","","","$0","","","","","alga-biosciences","true"
"32",32,"Algabase","Spain","Applications","http://www.algabase.com/","Ulva sp.","","Personal care
Plant & soil nutrition","","","","2014","","","","$0","","","","","algabase","true"
"33",33,"Algae Sumba Timur Lestari","Indonesia","Applications","https://id1365183554zlhe.fm.alibaba.com/company_profile.html","E. cottonii
E. spinosum","","Hydrocolloids","Carrageenan","","","","","","","$0","","","","","algae-sumba-timur-lestari","true"
"34",34,"AlgaeCal","USA","Farming & harvesting","https://www.algaecal.com/","Lithotamnium superpositum","","","","","","","","","","$0","","","","","algaecal","true"
"35",35,"Algaemech","Netherlands","Infrastructure & equipment","http://algaemech.com/","","","","","","","","","","","$0","","","","","algaemech","true"
"36",36,"Algaenetic","Mexico","Applications","https://www.algaenetic.com/","Sargassum sp.","","HABs","","","","2020","","","","$0","Research / product development","","","","algaenetic","true"
"37",37,"AlgaeTraders","Netherlands","Distribution","http://algaetraders.com/","","","","","","","","","","","$0","","","","","algaetraders","true"
"38",38,"Algaia","France","Applications
Processing / Biorefinery","https://www.algaia.com/","Laminaria digitata
Laminaria hyperborea","Harvesting","Plant & soil nutrition
Hydrocolloids","Alginate
Carrageenan","Maabarot
Demeter Partners
Supernova Invest","","2016","10 000 - 100 000 tonnes","","$2,600,000","$2,600,000","Scale-up / Industrialisation","$12,726,187
$8,764,941
$352,098","","Male CEO
Male founded","algaia","true"
"39",39,"Algalindo Perdana","Indonesia","Applications","https://algalindoperdana.com/","","","Hydrocolloids","Carrageenan","","","","","","","$0","","","","","algalindo-perdana","true"
"40",40,"Algallure","USA","Farming & harvesting
Applications","https://algallure.com/","","","Personal care","","","","","","","","$0","","","","","algallure","true"
"41",41,"Algamar Espana","Spain","Farming & harvesting
Applications","https://www.algamar.com/en/","Gelidium sesquipedale
Himanthalia sp.
Laminaria sp.
Palmaria sp.
Porphyra sp.","Harvesting","Hydrocolloids
Food","Agar","","","","","","","$0","","","","","algamar-espana","true"
"42",42,"Algamar Mexico (Algas Marinas S.A.)","Mexico","Farming & harvesting
Applications","https://www.kelproducts.com/","Macrocystis pyrifera
Ecklonia sp.","Harvesting","Plant & soil nutrition
Personal care
Feed
Nutraceuticals","Aquafeed
Livestock feed","","","2009","1000 - 10 000 tonnes","","","$0","","","","","algamar-mexico-algas-marinas-sa","true"
"43",43,"Alganex","Germany","Distribution","https://alganex.com/","","","","","Rockstart Agrifood","","2020","","","Unnamed record","$0","Pilot / Demonstration","","","","alganex","true"
"44",44,"Algapelago","UK","Farming & harvesting","https://www.algapelago.com/","","","","","","","2022","0 - not started yet","","","$0","Research / product development","","","","algapelago","true"
"45",45,"ALGAplus Lda","Portugal","Farming & harvesting","https://www.algaplus.pt/en/","Codium tomentosum
Gracilaria gracilis
Palmaria palmata
Porphyra dioica","Aquaculture
Land-based","","","SAPEC","","2012","10 - 100 tonnes","","Unnamed record","$0","Scale-up / Industrialisation","$12,726,187
$9,358,759
$1,772,833","","Mixed founding team
Female CEO","algaplus-lda","true"
"46",46,"AlgAran","Ireland","Farming & harvesting
Applications","https://www.seaweedproducts.ie/","Alaria esculenta
Chondrus crispus
Himanthalia elongata
Laminaria digitata","Harvesting","Food
Personal care","","","","2004","10 - 100 tonnes","","","$0","","","","","algaran","true"
"47",47,"Algarina","Chile","Farming & harvesting","https://www.algarina.cl/","Durvillaea antartica","Harvesting","Food","","","","","0 - 10 tonnes","","","$0","","","","","algarina","true"
"48",48,"Algas Chile","Chile","Farming & harvesting","https://www.algaschile.com/","Macrocystis pyrifera
Chondracanthus chamissoi
Lessonia sp.","Aquaculture","","","","","2014","","","","$0","","","","","algas-chile","true"
"49",49,"Algas de Asturias","Spain","Farming & harvesting","http://organicseafarmers.com/","Saccharina latissima","Aquaculture","","","","","","","","","$0","","","","","algas-de-asturias","true"
"50",50,"Algas La Patrona","Spain","Farming & harvesting","https://algaslapatrona.com/en/","Saccharina sp.","Harvesting","Food","","","","","0 - 10 tonnes","","","$0","","","","","algas-la-patrona","true"
"51",51,"Algas Organics","Saint Lucia","Farming & harvesting
Applications","https://algasorganics.com/","Sargassum sp.","Harvesting","HABs
Plant & soil nutrition","","","","2014","100 - 1000 tonnes","","","$0","Scale-up / Industrialisation","","","Male CEO
Male founded","algas-organics","true"
"52",52,"Algasbras","Brazil","Farming & harvesting
Applications","https://algasbras.com.br/","Kappaphycus alvarezii","Aquaculture","Hydrocolloids
Plant & soil nutrition","Carrageenan","","","2001","","","","$0","","","","","algasbras","true"
"53",53,"Algastech","Brazil","Farming & harvesting","https://algastech.com.br/","Kappaphycus alvarezii","Aquaculture","Plant & soil nutrition
Food","","","","2020","","","","$0","Pilot / Demonstration","","","","algastech","true"
"54",54,"Algea","Norway","Farming & harvesting
Applications","https://www.algea.com/","Ascophyllum nodosum","Harvesting","Feed
Plant & soil nutrition","Livestock feed","","","","10 000 - 100 000 tonnes","","","$0","","","","","algea","true"
"55",55,"AlgeaNova","Dominican Republic","Farming & harvesting
Applications","http://www.algeanova.com/en/","Sargassum sp.","Harvesting","HABs
Paper / cardboard","","","","2016","10 000 - 100 000 tonnes","","","$0","Validation / Traction","","","","algeanova","true"
"56",56,"Algenettverk Nord","Norway","Multi-stakeholder platform","https://algenett.no/","","","","","","Growing the industry","","","","","$0","","","","","algenettverk-nord","true"
"57",57,"Algenladen GmbH","Germany","Distribution","www.algenladen.de","Ulva sp.
Undaria sp.
Porphyra sp.
Fucus sp.
Laminaria sp.
Palmaria palmata","","","","","","2017","","","","$0","Validation / Traction","","","Male CEO
Male founded","algenladen-gmbh","true"
"58",58,"Algenprojekt","Germany","Infrastructure & equipment","https://www.algenprojekt.de/","","Aquaculture
Land-based","","","","","","","","","$0","","","","","algenprojekt","true"
"59",59,"Algeon Materials","USA","Applications","https://www.algeonmaterials.com/","","","Bioplastics","","startBlue
Maritime Blue","","2021","","","","$0","Research / product development","","","Female CEO
Female founded","algeon-materials","true"
"60",60,"Algetun","Norway","Processing / Biorefinery","https://www.algetun.no/","","","","","","","","","","","$0","","","","","algetun","true"
"61",61,"Algii","Brazil","Applications","https://www.algii.com.br/","Kappaphycus alvarezii","","Personal care","","","","2019","","","","$0","","","","","algii","true"
"62",62,"Algiknit","USA","Applications","https://www.algiknit.com/","","","Textiles","","Horizons Ventures
SOSV / IndieBio
Fashion For Good","","2018","","","$2,400,000
$13,000,000","$15,400,000","Research / product development","","","Mixed founding team
Female CEO","algiknit","true"
"63",63,"Algine Plus","Sweden","Farming & harvesting
Applications","http://www.algineplus.com/algineplus.htm","","Harvesting","Nutraceuticals","","","","","","","","$0","","","","","algine-plus","true"
"64",64,"Alginor","Norway","Farming & harvesting
Processing / Biorefinery","https://alginor.no/","Laminaria hyperborea","Harvesting","","Fucoidans
Alginate","EASME - EU Executive Agency for SMEs","","2014","10 - 100 tonnes","","$20,500,000
$33,000,000","$53,500,000","Pilot / Demonstration","$6,010,156
$2,268,198
$554,331","","Male CEO
Male founded","alginor","true"
"65",65,"Algipharma","Norway","Applications","https://algipharma.com/","","","Pharmaceuticals","","","","2006","","","","$0","Research / product development","$7,032,666
$1,760,523
$1,100,128","","Male CEO
Male founded","algipharma","true"
"66",66,"Algo Paint","France","Applications","https://www.peinture-algo.fr/","","","Pigments, inks, dyes, coatings","","","","2015","","","","$0","Scale-up / Industrialisation","","","Male CEO
Male founded","algo-paint","true"
"67",67,"Algo'manne","France","Farming & harvesting","https://algomanne.com/","Alaria sp.
Himanthalia elongata
Palmaria palmata
Porphyra sp.
Saccharina latissima","Harvesting","Food","","","","","10 - 100 tonnes","","","$0","","","","","algomanne","true"
"68",68,"Algocea","France","Farming & harvesting","https://www.algocea.com/","","Harvesting","Food","","","","","0 - 10 tonnes","","","$0","","","","","algocea","true"
"69",69,"Algolesko (Aleor)","France","Farming & harvesting","https://www.algolesko.com/","Saccharina latissima
Palmaria palmata","Aquaculture
IMTA","","","Crowdfunding","","2013","100 - 1000 tonnes","","$1,397,433","$1,397,433","Scale-up / Industrialisation","","","Male CEO
Male founded","algolesko-aleor","true"
"70",70,"Algologie","France","Applications","https://www.algologie.com/","","","Personal care","","","","","","","","$0","","","","","algologie","true"
"71",71,"Algoon","New Caledonia","Farming & harvesting","https://algoon.fr/","","","","","","","","","","","$0","","","","","algoon","true"
"72",72,"Algopack","France","Applications","http://algopack.com/","Sargassum sp.
Laminaria sp.","","Bioplastics","","","","2010","","","","$0","Research / product development","","","Male CEO
Male founded","algopack","true"
"73",73,"Algoplus","France","Farming & harvesting","https://www.algoplus-roscoff.fr/","Laminaria digitata
Palmaria palmata
Porphyra sp.
Ulva lactuca
Undaria sp.","Harvesting","","","","","","","","","$0","","","","","algoplus","true"
"74",74,"Algorythme","France","Farming & harvesting","https://algues-iledere.com/","","Harvesting","Food","","","","","10 - 100 tonnes","","","$0","","","","","algorythme","true"
"75",75,"AlgOz Solutions Pty Ltd","Australia","Processing / Biorefinery
Applications","https://www.linkedin.com/in/jens-sommer-knudsen-542971a/?originalSubdomain=au","","Aquaculture","Pharmaceuticals
Nutraceuticals
Bioplastics","","","","2021","0 - not started yet","","","$0","Research / product development","","","Male CEO
Male founded","algoz-solutions-pty-ltd","true"
"76",76,"Algroupe","France","Applications","https://www.linkedin.com/company/algroupe/","","","Food","","","","2019","","","","$0","","","","","algroupe","true"
"77",77,"Algue Service","France","Farming & harvesting","https://www.bord-a-bord.fr/?lang=fr","Himanthalia elongata
Palmaria palmata
Porphyra sp.
Saccharina latissima","Harvesting","","","","","","100 - 1000 tonnes","","","$0","","","","","algue-service","true"
"78",78,"Algues Armorique","France","Farming & harvesting","https://www.algues-armorique.com/","Alaria sp.
Chondrus crispus
Fucus sp.
Himanthalia elongata
Lithothamnium calcareum","Harvesting","","","","","","10 - 100 tonnes","","","$0","","","","","algues-armorique","true"
"79",79,"Algues et Mer","France","Farming & harvesting
Applications","http://www.algues-et-mer.com/","Asparagopsis armata
Undaria Pinnatifida","Aquaculture
Harvesting","Personal care","","","","","10 - 100 tonnes","","","$0","","","","","algues-et-mer","true"
"80",80,"Alimex","Chile","Farming & harvesting","https://www.alimex.cl/alimex-in/alimex-seaweed-in","Gigartina radula
Lessonia nigrescens
Lessonia trabeculata
Durvillaea antartica","Harvesting","","","","","","1000 - 10 000 tonnes","","","$0","","","","","alimex","true"
"81",81,"Aloba Foods","Sweden","Applications","https://www.alobafoods.com/","","","Food","","","","2019","","","","$0","","","","","aloba-foods","true"
