"","resHeaders","Headquarters","Researchers","Grants associated","Web presence","Number of grants listed","Research focus","Research fields","Value chain"
"1","Aarhus University",NA,NA,NA,NA,NA,NA,NA,NA
"2","ACIAR","Denmark","","$800,000
$7,016,009
$2,642,715","https://www.au.dk/","6","Multi-disciplinary","",NA
"3","Adelphi University","","","","","","","",NA
"4","Aitiip Centro Tecnologico","","","Unnamed record","","1","","",NA
"5","Alaska Sea Grant","India","","","https://cmfri.org.in/","0","Multi-disciplinary","",NA
"6","Aleutians East Borough","Spain","","$9,358,759","https://www.gbif.es/instituciones/centro-de-biotecnologia-marina-universidad-de-las-palmas-de-gran-canaria/","1","Applications
Cultivation","",NA
"7","Alfred Wegener Institute","UK","","$2,761,902","https://www.cefas.co.uk/","1","Multi-disciplinary","",NA
"8","Algalab at Universidad de Concepcion","New Zealand","","$4,103,955
$7,500,000","https://www.cawthron.org.nz/our-news/prime-minister-opens-national-algae-research-centre/","2","Cultivation
Applications","",NA
"9","AlgeCenter","USA","","$103,478","","1","","",NA
"10","Alginor","USA","","$59,101
$195,832","","2","","",NA
"11","Aquatic Plant Variety Center","USA","","$145,834","","1","","",NA
"12","Arizona State University","USA","","$254,187","","1","","",NA
"13","ARPA-E MARINER","USA","","$79,998
$333,441","","2","","",NA
"14","AZTI","Belgium","","$11,492,502
$1,999,318
$2,239,608","http://bluegent.ugent.be/","4","Pharmaceuticals
Cultivation","",NA
"15","Balitang KKP (The Centre for Marine and Fisheries Research and Development)","Sweden","","","https://www.kth.se/bluefood","0","Applications","",NA
"16","Bamfield Marine Sciences Centre","UK","","","https://biopilotsuk.com/","0","Cultivation
Processing","",NA
"17","Banco Español de Algas (BEA – Spanish Bank of Algae)","USA","","$8,000,000
$10,000
$900,000","https://www.bigelow.org/","5","","",NA
"18","Bigelow Laboratory for Ocean Sciences","","","$792,712","","1","","",NA
"19","BioPilotsUK","UK","","$1,426,855","","1","","",NA
"20","Blue Food","Indonesia","Windu Merdekawati","","https://kkp.go.id/brsdm/biotekkp","0","Applications
Pharmaceuticals","",NA
